                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 0.6864,                  0.423,                0.99877,                0.97528,                0.96619,                0.97817,                0.80384,                0.64379,                0.38596,                0.87642,              0.0090892,              0.0090892,              0.0090892
                     94,                0.67031,                0.40829,                0.99994,                0.96214,                0.97095,                0.97551,                0.80499,                 0.6547,                0.38353,                0.88517,              0.0090793,              0.0090793,              0.0090793
                     95,                0.66158,                0.39888,                0.99896,                0.98155,                0.96192,                 0.9772,                0.78643,                0.67411,                0.38889,                0.88569,              0.0090694,              0.0090694,              0.0090694
                     96,                 0.6566,                0.40972,                0.99776,                0.97754,                0.96731,                0.97756,                0.80283,                0.67505,                0.39109,                0.90477,              0.0090595,              0.0090595,              0.0090595
                     97,                0.67092,                 0.4109,                0.98983,                0.97537,                0.95423,                0.97564,                0.79099,                0.67819,                 0.3954,                0.88896,              0.0090496,              0.0090496,              0.0090496
                     98,                0.66441,                0.40006,                0.99363,                0.97965,                0.95939,                0.97389,                0.79675,                0.68453,                 0.3941,                0.90728,              0.0090397,              0.0090397,              0.0090397
                     99,                0.67199,                0.41582,                 1.0077,                0.97812,                0.95943,                0.97542,                0.79263,                0.70221,                0.41198,                0.89334,              0.0090298,              0.0090298,              0.0090298
                    100,                 0.6853,                0.41393,                 1.0086,                0.97258,                0.96837,                0.97734,                0.79874,                0.66134,                0.39741,                0.89548,              0.0090199,              0.0090199,              0.0090199
                    101,                0.65151,                0.40461,                0.97696,                0.97334,                0.96922,                0.98051,                0.81058,                0.66066,                 0.3926,                0.89097,                0.00901,                0.00901,                0.00901
                    102,                0.66212,                0.39595,                0.98891,                0.96192,                  0.959,                0.97581,                0.78666,                 0.6974,                0.41691,                0.91885,              0.0090001,              0.0090001,              0.0090001
                    103,                0.67268,                0.41063,                0.99174,                0.97996,                0.95748,                0.97717,                0.80575,                0.65925,                0.41109,                0.88205,              0.0089902,              0.0089902,              0.0089902
                    104,                0.67073,                0.40732,                0.99733,                0.96912,                0.96503,                0.98076,                0.79543,                0.69329,                0.40269,                0.92678,              0.0089803,              0.0089803,              0.0089803
                    105,                0.67819,                0.40993,                 1.0029,                0.96728,                0.95935,                 0.9783,                 0.8019,                0.68086,                   0.41,                 0.8999,              0.0089704,              0.0089704,              0.0089704
                    106,                0.67199,                 0.4101,                      1,                0.97221,                0.96403,                0.97657,                0.80288,                0.65465,                0.38222,                0.89413,              0.0089605,              0.0089605,              0.0089605
                    107,                0.66486,                0.39972,                0.99075,                0.97854,                0.95739,                0.97876,                0.80329,                0.67234,                0.38842,                0.89078,              0.0089506,              0.0089506,              0.0089506
                    108,                0.65018,                0.39725,                0.97871,                0.98225,                0.96006,                 0.9768,                0.81034,                0.66433,                0.38642,                0.88741,              0.0089407,              0.0089407,              0.0089407
                    109,                0.64372,                0.38805,                0.98611,                0.97594,                0.96702,                0.97682,                0.80528,                0.66308,                0.38853,                 0.8855,              0.0089308,              0.0089308,              0.0089308
                    110,                 0.6728,                0.40988,                 1.0003,                0.97214,                0.96174,                0.97722,                0.80382,                0.65046,                0.37587,                  0.874,              0.0089209,              0.0089209,              0.0089209
                    111,                0.65101,                0.39497,                0.98924,                  0.983,                0.95939,                0.97922,                0.79887,                0.67184,                 0.3729,                0.89236,               0.008911,               0.008911,               0.008911
                    112,                0.64114,                0.39638,                 0.9809,                0.97738,                 0.9628,                 0.9797,                0.80551,                0.66951,                 0.3709,                0.88953,              0.0089011,              0.0089011,              0.0089011
                    113,                0.63039,                0.38768,                0.98201,                0.97376,                0.95942,                0.97553,                0.80779,                0.66431,                0.37876,                0.89455,              0.0088912,              0.0088912,              0.0088912
                    114,                0.63873,                0.39287,                0.98779,                0.98407,                0.97279,                0.97825,                0.80537,                0.66104,                0.37983,                0.87797,              0.0088813,              0.0088813,              0.0088813
                    115,                0.64158,                0.39134,                0.98525,                0.98764,                0.96786,                0.98133,                0.80522,                0.66382,                0.38048,                0.88586,              0.0088714,              0.0088714,              0.0088714
                    116,                0.65107,                0.39694,                0.99147,                 0.9748,                0.96238,                0.97865,                0.80427,                 0.6673,                0.39583,                0.87485,              0.0088615,              0.0088615,              0.0088615
                    117,                0.64455,                0.40006,                0.98849,                0.98084,                0.97288,                0.97777,                0.80785,                0.64385,                 0.3802,                0.86101,              0.0088516,              0.0088516,              0.0088516
                    118,                0.64345,                0.40022,                0.98073,                0.97117,                0.96439,                0.98099,                0.80884,                 0.6546,                0.37762,                0.88942,              0.0088417,              0.0088417,              0.0088417
                    119,                0.62798,                0.38808,                0.97572,                0.97813,                0.96848,                0.97796,                0.80306,                0.68052,                0.38087,                0.90701,              0.0088318,              0.0088318,              0.0088318
                    120,                0.64541,                0.39609,                0.98641,                 0.9833,                0.95728,                0.98142,                0.80971,                 0.6658,                 0.3803,                0.89315,              0.0088219,              0.0088219,              0.0088219
                    121,                0.62814,                0.37493,                0.97776,                0.97687,                0.96736,                0.97684,                0.80797,                0.64012,                0.36758,                0.88308,               0.008812,               0.008812,               0.008812
                    122,                0.63175,                0.38113,                0.97569,                0.97794,                0.96834,                 0.9764,                0.81529,                0.65317,                0.37417,                0.89647,              0.0088021,              0.0088021,              0.0088021
                    123,                0.62392,                0.38532,                0.97112,                 0.9794,                0.95489,                 0.9769,                0.80371,                0.65554,                0.37189,                0.89252,              0.0087922,              0.0087922,              0.0087922
                    124,                0.62683,                 0.3818,                0.97715,                0.98239,                 0.9647,                0.98274,                0.80985,                0.64141,                0.36603,                0.87476,              0.0087823,              0.0087823,              0.0087823
                    125,                0.63063,                0.37955,                0.98272,                0.97871,                0.95746,                0.98068,                 0.8033,                0.64936,                0.37645,                0.87106,              0.0087724,              0.0087724,              0.0087724
                    126,                0.63451,                0.38256,                0.97602,                0.98671,                0.96586,                0.97963,                0.81053,                0.64971,                0.36939,                0.87716,              0.0087625,              0.0087625,              0.0087625
                    127,                0.62312,                0.37645,                0.96574,                0.97334,                0.97034,                0.98224,                0.80548,                0.64799,                0.37631,                0.87716,              0.0087526,              0.0087526,              0.0087526
                    128,                0.62388,                0.38483,                0.97534,                0.98377,                0.96483,                0.98249,                0.81103,                0.63823,                0.36309,                0.86982,              0.0087427,              0.0087427,              0.0087427
                    129,                0.62607,                0.38471,                0.98261,                0.97379,                0.97324,                0.98091,                0.81332,                 0.6416,                0.35843,                 0.8603,              0.0087328,              0.0087328,              0.0087328
                    130,                0.63536,                0.38307,                0.98027,                0.97487,                0.95571,                0.97543,                0.80214,                0.63504,                0.37558,                0.88092,              0.0087229,              0.0087229,              0.0087229
                    131,                0.63043,                0.38203,                0.97897,                0.98773,                   0.96,                0.97873,                0.80553,                0.65754,                0.36507,                0.88447,               0.008713,               0.008713,               0.008713
                    132,                0.62556,                0.38051,                0.97417,                0.98085,                0.97527,                0.98499,                0.81567,                0.64792,                0.36735,                0.88358,              0.0087031,              0.0087031,              0.0087031
                    133,                0.63339,                0.38956,                0.98795,                0.96697,                0.97403,                0.98324,                0.80358,                0.66854,                0.37725,                0.90024,              0.0086932,              0.0086932,              0.0086932
